link,price,area,room,toilet,address,lat,long
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-mt-ly-nhat-quang-4-tang-11-phong-thu-nhap-30tr-th-son-tra-id22015369,10 tỷ 500 triệu,151 m2,11 PN,11 WC,"Lý Nhật Quang, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.09579,108.22874
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-250m2-mt-bui-ta-han-duong-15m-gan-song-khue-my-nam-viet-a-id21898814,16 tỷ 500 triệu,250 m2,0 PN,0 WC,"Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02974,108.242
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-mt-son-thuy-3-5m5-gan-duong-minh-mang-hoa-hai-nhs-3-1-ty-id22160147,3 tỷ 100 triệu,94 m2,0 PN,0 WC,"Sơn Thuỷ - Đa Mặn, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",15.98728,108.26717
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-3-tang-mt-pham-huy-thong-10m5-khu-marina-complex-son-tra-6-9t-id22136575,6 tỷ 900 triệu,110 m2,3 PN,4 WC,"Lý Nhật Quang, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.09579,108.22874
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-dep-2-mat-tien-tran-van-thanh-khue-my-ngu-hanh-son-5-9-ty-id21958128,4 tỷ 990 triệu,78 m2,4 PN,5 WC,"Trần Văn Thành, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.0395,108.24862
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ban-nha-mt-nguyen-duc-canh-5m5-gan-duong-3-2-hai-chau-chi-3-95-ty-id22007525,3 tỷ 949 triệu,58 m2,2 PN,1 WC,"Nguyễn Đức Cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",16.08922,108.21798
https://mogi.vn/quan-cam-le/mua-dat-tho-cu/ban-lo-dat-mt-me-thu-duong-10m5-gan-vo-chi-cong-hoa-xuan-gia-tot-id21898842,5 tỷ 300 triệu,127 m2,0 PN,0 WC,"Mẹ Thứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",16.00005,108.21795
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-102m2-mt-my-da-dong-8-gan-bien-thu-nhap-6tr-th-my-an-4-3-ty-id22154330,4 tỷ 300 triệu,102 m2,1 PN,1 WC,"Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.04433,108.2447
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-dat-100m2-nguyen-xuan-khoat-khu-pho-han-quoc-kd-son-tra-8-65-ty-id22039181,8 tỷ 650 triệu,100 m2,0 PN,0 WC,"Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.06986,108.23666
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-dep-mt-mac-cuu-7m5-gan-song-nam-viet-a-id22072925,6 tỷ 150 triệu,100 m2,3 PN,2 WC,"Mạc Cửu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02617,108.24185
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-mat-tien-pham-quang-anh-gan-cau-rong-song-han-son-tra-5-65ty-id22037955,5 tỷ 650 triệu,76 m2,2 PN,1 WC,"Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",16.0603,108.23628
https://mogi.vn/quan-hai-chau/mua-dat-tho-cu/giam-400tr-ban-lo-dat-mt-hai-ho-gan-cho-dong-da-thanh-binh-hai-chau-id21908208,7 tỷ 200 triệu,80 m2,0 PN,0 WC,"Hải Hồ, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",16.08061,108.21562
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-3-tang-mat-tien-nguyen-dinh-chieu-127m2-co-4p-thue-10-tr-th-id21915256,6 tỷ,127 m2,6 PN,6 WC,"Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02474,108.24536
https://mogi.vn/quan-thanh-khe/mua-nha-mat-tien-pho/giam-1-ty-ban-nha-mt-duong-hai-phong-120m2-co-thang-may-thanh-khe-id21959903,14 tỷ 500 triệu,120 m2,18 PN,18 WC,"Hải Phòng, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",16.06756,108.20497
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-4-tang-mt-an-thuong-38-khu-pho-tay-co-6-can-studio-cho-thue-id21975817,8 tỷ 600 triệu,60 m2,6 PN,6 WC,"An Thượng 36, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.05271,108.24424
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-dep-3-tang-mat-tien-pham-huy-thong-10m5-sat-song-han-son-tra-id22095158,6 tỷ 900 triệu,110 m2,3 PN,4 WC,"Lý Nhật Quang, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.09579,108.22874
https://mogi.vn/quan-son-tra/mua-can-ho-chung-cu/ban-can-ho-hiyori-2pn-full-noi-that-mt-vo-van-kiet-sat-cau-rong-3-5ty-id22032716,3 tỷ 500 triệu,61 m2,2 PN,2 WC,"Võ Văn Kiệt, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",16.06191,108.23652
https://mogi.vn/quan-son-tra/mua-duong-noi-bo/ban-nha-kiet-oto-luong-the-vinh-son-tra-3-09-ty-id21981330,3 tỷ 90 triệu,85 m2,2 PN,1 WC,"Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",16.06228,108.237
https://mogi.vn/quan-thanh-khe/mua-dat/ban-can-ho-hagl-mat-tien-ham-nghi-can-goc-117m2-full-noi-that-2-7ty-id21927518,2 tỷ 700 triệu,117 m2,3 PN,2 WC,"Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",16.06326,108.21063
